,Year,Region,Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
91,2010,Sub-Saharan Africa,Guinea,1.0,10.9,2.7,1.0,1.0,84.4,1.0,1.8
92,2010,Sub-Saharan Africa,Guinea-Bissau,1.0,19.7,30.9,1.0,1.0,45.1,1.0,4.3
93,2010,Latin America-Caribbean,Guyana,1.0,66.0,1.0,24.9,1.0,6.4,1.0,
94,2010,Latin America-Caribbean,Haiti,,86.9,2.2,1.0,1.0,1.0,1.0,10.6
95,2010,Europe,Vatican City,1.0,99.0,1.0,1.0,1.0,1.0,1.0,
96,2010,Latin America-Caribbean,Honduras,1.0,87.6,1.1,1.0,1.0,1.0,1.0,10.5
97,2010,Asia-Pacific,Hong Kong,13.2,14.3,12.8,1.0,1.0,1.8,1.5,56.1
98,2010,Europe,Hungary,,81.0,1.0,1.0,1.0,1.0,1.0,18.6
99,2010,Europe,Iceland,1.0,95.0,1.0,1.0,1.0,1.0,1.0,3.5
100,2010,Asia-Pacific,India,1.0,2.5,1.0,,1.0,14.4,2.3,1.0
101,2010,Asia-Pacific,Indonesia,,9.9,1.0,1.7,1.0,87.2,1.0,1.0
102,2010,Asia-Pacific,Iran,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0
103,2010,Middle East-North Africa,Iraq,1.0,,1.0,1.0,1.0,99.0,1.0,
104,2010,Europe,Ireland,1.0,92.0,1.0,1.0,1.0,1.1,1.0,6.2
105,2010,Europe,Isle of Man,1.0,84.1,1.0,1.0,1.0,1.0,1.0,15.4
106,2010,Middle East-North Africa,Israel,1.0,2.0,1.0,1.0,75.6,18.6,1.0,3.1
107,2010,Europe,Italy,1.0,83.3,1.0,1.0,1.0,3.7,1.0,12.4
108,2010,Latin America-Caribbean,Jamaica,1.0,77.2,4.5,1.0,1.0,1.0,1.0,17.2
109,2010,Asia-Pacific,Japan,36.2,1.6,1.0,1.0,1.0,1.0,4.7,57.0
110,2010,Middle East-North Africa,Jordan,1.0,2.2,1.0,1.0,1.0,97.2,1.0,1.0
111,2010,Asia-Pacific,Kazakhstan,1.0,24.7,1.0,1.0,1.0,70.4,1.0,4.2
112,2010,Sub-Saharan Africa,Kenya,1.0,84.8,1.7,1.0,1.0,9.7,1.2,2.5
113,2010,Asia-Pacific,Kiribati,1.0,97.0,1.0,1.0,1.0,1.0,2.2,1.0
114,2010,Europe,Kosovo,1.0,6.1,1.0,1.0,1.0,93.8,1.0,1.0
115,2010,Middle East-North Africa,Kuwait,2.8,14.3,1.0,8.5,1.0,74.1,1.0,1.0
116,2010,Asia-Pacific,Kyrgyzstan,1.0,11.4,1.0,1.0,1.0,88.0,1.0,1.0
117,2010,Asia-Pacific,Laos,66.0,1.5,30.7,1.0,1.0,1.0,1.0,1.0
118,2010,Europe,Latvia,1.0,55.8,1.0,1.0,1.0,1.0,1.0,43.8
119,2010,Middle East-North Africa,Lebanon,1.0,38.3,1.0,1.0,1.0,61.3,1.0,1.0
120,2010,Sub-Saharan Africa,Lesotho,1.0,96.8,1.0,1.0,1.0,1.0,1.0,3.1
121,2010,Sub-Saharan Africa,Liberia,1.0,85.9,1.0,1.0,1.0,12.0,1.0,1.4
122,2010,Middle East-North Africa,Libya,1.0,,1.0,1.0,1.0,96.6,1.0,
123,2010,Europe,Liechtenstein,1.0,91.9,1.0,1.0,1.0,5.0,1.0,
124,2010,Europe,Lithuania,1.0,89.8,1.0,1.0,1.0,1.0,1.0,10.0
125,2010,Europe,Luxembourg,1.0,70.4,1.0,1.0,1.0,,1.0,26.8
126,2010,Asia-Pacific,Macau,,7.2,58.9,,1.0,1.0,1.0,15.4
127,2010,Europe,Republic of Macedonia,1.0,59.3,1.0,1.0,1.0,39.3,1.0,1.4
128,2010,Sub-Saharan Africa,Madagascar,1.0,85.3,4.5,1.0,1.0,3.0,1.0,6.9
129,2010,Sub-Saharan Africa,Malawi,1.0,82.7,1.7,1.0,1.0,13.0,1.0,2.5
130,2010,Asia-Pacific,Malaysia,17.7,9.4,2.3,6.0,1.0,63.7,1.0,1.0
131,2010,Asia-Pacific,Maldives,1.0,1.0,1.0,1.0,1.0,98.4,1.0,1.0
132,2010,Sub-Saharan Africa,Mali,1.0,2.4,2.7,1.0,1.0,94.4,1.0,1.0
133,2010,Europe,Malta,1.0,97.0,1.0,1.0,1.0,1.0,1.0,2.5
134,2010,Asia-Pacific,Marshall Islands,1.0,97.5,1.0,1.0,1.0,1.0,1.0,
135,2010,Latin America-Caribbean,Martinique,1.0,,1.0,1.0,1.0,1.0,1.0,2.3
136,2010,Sub-Saharan Africa,Mauritania,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0
137,2010,Sub-Saharan Africa,Mauritius,1.0,32.7,1.0,48.5,1.0,17.3,1.0,1.0
138,2010,Sub-Saharan Africa,Mayotte,1.0,1.0,1.0,1.0,1.0,98.6,1.0,1.0
139,2010,Latin America-Caribbean,Mexico,1.0,95.1,1.0,1.0,1.0,1.0,1.0,4.7
